Census,School Name,Category,Year Level,Students
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 9,164
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 10,180
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 11,146
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 12,175
01 February 2011,Canberra Grammar School,Non Gov,Preschool,102
01 February 2011,Canberra Grammar School,Non Gov,Kindergarten ,75
01 February 2011,Canberra Grammar School,Non Gov,Year 1,75
01 February 2011,Canberra Grammar School,Non Gov,Year 2,76
01 February 2011,Canberra Grammar School,Non Gov,Year 3,66
01 February 2011,Canberra Grammar School,Non Gov,Year 4,69
01 February 2011,Canberra Grammar School,Non Gov,Year 5,87
01 February 2011,Canberra Grammar School,Non Gov,Year 6,95
01 February 2011,Canberra Grammar School,Non Gov,Year 7,162
01 February 2011,Canberra Grammar School,Non Gov,Year 8,146
01 February 2011,Canberra Grammar School,Non Gov,Year 9,188
01 February 2011,Canberra Grammar School,Non Gov,Year 10,165
01 February 2011,Canberra Grammar School,Non Gov,Year 11,145
01 February 2011,Canberra Grammar School,Non Gov,Year 12,149
01 February 2011,Canberra Montessori School,Non Gov,Preschool,76
01 February 2011,Canberra Montessori School,Non Gov,Kindergarten ,32
01 February 2011,Canberra Montessori School,Non Gov,Year 1,24
01 February 2011,Canberra Montessori School,Non Gov,Year 2,20
01 February 2011,Canberra Montessori School,Non Gov,Year 3,9
01 February 2011,Canberra Montessori School,Non Gov,Year 4,5
01 February 2011,Canberra Montessori School,Non Gov,Year 5,13
01 February 2011,Canberra Montessori School,Non Gov,Year 6,5
01 February 2011,Covenant College,Non Gov,Kindergarten ,12
01 February 2011,Covenant College,Non Gov,Year 1,13
01 February 2011,Covenant College,Non Gov,Year 2,9
01 February 2011,Covenant College,Non Gov,Year 3,11
01 February 2011,Covenant College,Non Gov,Year 4,22
01 February 2011,Covenant College,Non Gov,Year 5,5
01 February 2011,Covenant College,Non Gov,Year 6,17
01 February 2011,Covenant College,Non Gov,Year 7,13
01 February 2011,Covenant College,Non Gov,Year 8,11
01 February 2011,Covenant College,Non Gov,Year 9,17
01 February 2011,Covenant College,Non Gov,Year 10,16
01 February 2011,Daramalan College,Non Gov,Year 7,254
01 February 2011,Daramalan College,Non Gov,Year 8,251
01 February 2011,Daramalan College,Non Gov,Year 9,249
01 February 2011,Daramalan College,Non Gov,Year 10,251
01 February 2011,Daramalan College,Non Gov,Year 11,239
01 February 2011,Daramalan College,Non Gov,Year 12,237
01 February 2011,Emmaus Christian School,Non Gov,Preschool,23
01 February 2011,Emmaus Christian School,Non Gov,Kindergarten ,21
01 February 2011,Emmaus Christian School,Non Gov,Year 1,20
01 February 2011,Emmaus Christian School,Non Gov,Year 2,26
01 February 2011,Emmaus Christian School,Non Gov,Year 3,23
01 February 2011,Emmaus Christian School,Non Gov,Year 4,26
01 February 2011,Emmaus Christian School,Non Gov,Year 5,26
01 February 2011,Emmaus Christian School,Non Gov,Year 6,27
01 February 2011,Emmaus Christian School,Non Gov,Year 7,19
01 February 2011,Emmaus Christian School,Non Gov,Year 8,19
01 February 2011,Emmaus Christian School,Non Gov,Year 9,31
01 February 2011,Emmaus Christian School,Non Gov,Year 10,16
01 February 2011,Good Shepherd Primary School,Non Gov,Preschool,99
01 February 2011,Good Shepherd Primary School,Non Gov,Kindergarten ,137
01 February 2011,Good Shepherd Primary School,Non Gov,Year 1,134
01 February 2011,Good Shepherd Primary School,Non Gov,Year 2,106
01 February 2011,Good Shepherd Primary School,Non Gov,Year 3,105
01 February 2011,Good Shepherd Primary School,Non Gov,Year 4,85
01 February 2011,Good Shepherd Primary School,Non Gov,Year 5,96
01 February 2011,Good Shepherd Primary School,Non Gov,Year 6,69
01 February 2011,Holy Family Parish Primary School,Non Gov,Preschool,57
01 February 2011,Holy Family Parish Primary School,Non Gov,Kindergarten ,104
01 February 2011,Holy Family Parish Primary School,Non Gov,Year 1,79
01 February 2011,Holy Family Parish Primary School,Non Gov,Year 2,95
01 February 2011,Holy Family Parish Primary School,Non Gov,Year 3,95
01 February 2011,Holy Family Parish Primary School,Non Gov,Year 4,74
01 February 2011,Holy Family Parish Primary School,Non Gov,Year 5,75
01 February 2011,Holy Family Parish Primary School,Non Gov,Year 6,81
01 February 2011,Holy Spirit Primary School,Non Gov,Kindergarten ,64
01 February 2011,Holy Spirit Primary School,Non Gov,Year 1,70
01 February 2011,Holy Spirit Primary School,Non Gov,Year 2,64
01 February 2011,Holy Spirit Primary School,Non Gov,Year 3,76
01 February 2011,Holy Spirit Primary School,Non Gov,Year 4,76
01 February 2011,Holy Spirit Primary School,Non Gov,Year 5,80
01 February 2011,Holy Spirit Primary School,Non Gov,Year 6,80
01 February 2011,Holy Trinity Primary School,Non Gov,Preschool,26
01 February 2011,Holy Trinity Primary School,Non Gov,Kindergarten ,47
01 February 2011,Holy Trinity Primary School,Non Gov,Year 1,28
01 February 2011,Holy Trinity Primary School,Non Gov,Year 2,53
01 February 2011,Holy Trinity Primary School,Non Gov,Year 3,42
01 February 2011,Holy Trinity Primary School,Non Gov,Year 4,12
01 February 2011,Holy Trinity Primary School,Non Gov,Year 5,33
01 February 2011,Holy Trinity Primary School,Non Gov,Year 6,29
01 February 2011,Islamic School of Canberra,Non Gov,Kindergarten ,19
01 February 2011,Islamic School of Canberra,Non Gov,Year 1,30
01 February 2011,Islamic School of Canberra,Non Gov,Year 2,25
01 February 2011,Islamic School of Canberra,Non Gov,Year 3,12
01 February 2011,Islamic School of Canberra,Non Gov,Year 4,17
01 February 2011,Islamic School of Canberra,Non Gov,Year 5,14
01 February 2011,Islamic School of Canberra,Non Gov,Year 6,11
01 February 2011,Islamic School of Canberra,Non Gov,Year 7,10
01 February 2011,Marist College Canberra,Non Gov,Year 4,119
01 February 2011,Marist College Canberra,Non Gov,Year 5,120
01 February 2011,Marist College Canberra,Non Gov,Year 6,150
01 February 2011,Marist College Canberra,Non Gov,Year 7,223
01 February 2011,Marist College Canberra,Non Gov,Year 8,222
01 February 2011,Marist College Canberra,Non Gov,Year 9,220
01 February 2011,Marist College Canberra,Non Gov,Year 10,201
01 February 2011,Marist College Canberra,Non Gov,Year 11,156
01 February 2011,Marist College Canberra,Non Gov,Year 12,185
01 February 2011,Merici College,Non Gov,Year 7,200
01 February 2011,Merici College,Non Gov,Year 8,192
01 February 2011,Merici College,Non Gov,Year 9,186
01 February 2011,Merici College,Non Gov,Year 10,164
01 February 2011,Merici College,Non Gov,Year 11,154
01 February 2011,Merici College,Non Gov,Year 12,122
01 February 2011,Orana School,Non Gov,Preschool,49
01 February 2011,Orana School,Non Gov,Kindergarten ,55
01 February 2011,Orana School,Non Gov,Year 1,59
01 February 2011,Orana School,Non Gov,Year 2,47
01 February 2011,Orana School,Non Gov,Year 3,57
01 February 2011,Orana School,Non Gov,Year 4,36
01 February 2011,Orana School,Non Gov,Year 5,58
01 February 2011,Orana School,Non Gov,Year 6,52
01 February 2011,Orana School,Non Gov,Year 7,53
01 February 2011,Orana School,Non Gov,Year 8,46
01 February 2011,Orana School,Non Gov,Year 9,55
01 February 2011,Orana School,Non Gov,Year 10,50
01 February 2011,Orana School,Non Gov,Year 11,16
01 February 2011,Orana School,Non Gov,Year 12,15
01 February 2011,Radford College,Non Gov,Preschool,44
01 February 2011,Radford College,Non Gov,Kindergarten ,45
01 February 2011,Radford College,Non Gov,Year 1,44
01 February 2011,Radford College,Non Gov,Year 2,45
01 February 2011,Radford College,Non Gov,Year 3,96
01 February 2011,Radford College,Non Gov,Year 4,96
01 February 2011,Radford College,Non Gov,Year 5,96
01 February 2011,Radford College,Non Gov,Year 6,96
01 February 2011,Radford College,Non Gov,Year 7,177
01 February 2011,Radford College,Non Gov,Year 8,178
01 February 2011,Radford College,Non Gov,Year 9,176
01 February 2011,Radford College,Non Gov,Year 10,177
01 February 2011,Radford College,Non Gov,Year 11,175
01 February 2011,Radford College,Non Gov,Year 12,176
01 February 2011,Rosary Primary School,Non Gov,Kindergarten ,49
01 February 2011,Rosary Primary School,Non Gov,Year 1,47
01 February 2011,Rosary Primary School,Non Gov,Year 2,54
01 February 2011,Rosary Primary School,Non Gov,Year 3,54
01 February 2011,Rosary Primary School,Non Gov,Year 4,53
01 February 2011,Rosary Primary School,Non Gov,Year 5,56
01 February 2011,Rosary Primary School,Non Gov,Year 6,51
01 February 2011,Sacred Heart Primary School,Non Gov,Kindergarten ,59
01 February 2011,Sacred Heart Primary School,Non Gov,Year 1,58
01 February 2011,Sacred Heart Primary School,Non Gov,Year 2,60
01 February 2011,Sacred Heart Primary School,Non Gov,Year 3,52
01 February 2011,Sacred Heart Primary School,Non Gov,Year 4,42
01 February 2011,Sacred Heart Primary School,Non Gov,Year 5,44
01 February 2011,Sacred Heart Primary School,Non Gov,Year 6,48
01 February 2011,St Anthony's Parish Primary School,Non Gov,Kindergarten ,65
01 February 2011,St Anthony's Parish Primary School,Non Gov,Year 1,40
01 February 2011,St Anthony's Parish Primary School,Non Gov,Year 2,64
01 February 2011,St Anthony's Parish Primary School,Non Gov,Year 3,66
01 February 2011,St Anthony's Parish Primary School,Non Gov,Year 4,52
01 February 2011,St Anthony's Parish Primary School,Non Gov,Year 5,67
01 February 2011,St Anthony's Parish Primary School,Non Gov,Year 6,63
01 February 2011,St Bede's Primary School,Non Gov,Kindergarten ,20
01 February 2011,St Bede's Primary School,Non Gov,Year 1,27
01 February 2011,St Bede's Primary School,Non Gov,Year 2,26
01 February 2011,St Bede's Primary School,Non Gov,Year 3,29
01 February 2011,St Bede's Primary School,Non Gov,Year 4,23
01 February 2011,St Bede's Primary School,Non Gov,Year 5,25
01 February 2011,St Bede's Primary School,Non Gov,Year 6,27
01 February 2011,St Benedict's Primary School,Non Gov,Kindergarten ,17
01 February 2011,St Benedict's Primary School,Non Gov,Year 1,29
01 February 2011,St Benedict's Primary School,Non Gov,Year 2,31
01 February 2011,St Benedict's Primary School,Non Gov,Year 3,28
01 February 2011,St Benedict's Primary School,Non Gov,Year 4,28
01 February 2011,St Benedict's Primary School,Non Gov,Year 5,13
01 February 2011,St Benedict's Primary School,Non Gov,Year 6,15
01 February 2011,St Clare of Assisi Primary School,Non Gov,Kindergarten ,102
01 February 2011,St Clare of Assisi Primary School,Non Gov,Year 1,101
01 February 2011,St Clare of Assisi Primary School,Non Gov,Year 2,105
01 February 2011,St Clare of Assisi Primary School,Non Gov,Year 3,108
01 February 2011,St Clare of Assisi Primary School,Non Gov,Year 4,85
01 February 2011,St Clare of Assisi Primary School,Non Gov,Year 5,95
01 February 2011,St Clare of Assisi Primary School,Non Gov,Year 6,107
01 February 2011,St Clare's College,Non Gov,Year 7,225
01 February 2011,St Clare's College,Non Gov,Year 8,214
01 February 2011,St Clare's College,Non Gov,Year 9,217
01 February 2011,St Clare's College,Non Gov,Year 10,219
01 February 2011,St Clare's College,Non Gov,Year 11,172
01 February 2011,St Clare's College,Non Gov,Year 12,165
01 February 2011,St Edmund's College Canberra,Non Gov,Year 4,57
01 February 2011,St Edmund's College Canberra,Non Gov,Year 5,88
01 February 2011,St Edmund's College Canberra,Non Gov,Year 6,90
01 February 2011,St Edmund's College Canberra,Non Gov,Year 7,167
01 February 2011,St Edmund's College Canberra,Non Gov,Year 8,146
01 February 2011,St Edmund's College Canberra,Non Gov,Year 9,169
01 February 2011,St Edmund's College Canberra,Non Gov,Year 10,165
01 February 2011,St Edmund's College Canberra,Non Gov,Year 11,134
01 February 2011,St Edmund's College Canberra,Non Gov,Year 12,123
01 February 2011,St Francis of Assisi Primary School,Non Gov,Kindergarten ,60
01 February 2011,St Francis of Assisi Primary School,Non Gov,Year 1,67
01 February 2011,St Francis of Assisi Primary School,Non Gov,Year 2,73
01 February 2011,St Francis of Assisi Primary School,Non Gov,Year 3,72
01 February 2011,St Francis of Assisi Primary School,Non Gov,Year 4,62
01 February 2011,St Francis of Assisi Primary School,Non Gov,Year 5,64
01 February 2011,St Francis of Assisi Primary School,Non Gov,Year 6,75
01 February 2011,St Francis Xavier College,Non Gov,Year 7,212
01 February 2011,St Francis Xavier College,Non Gov,Year 8,214
01 February 2011,St Francis Xavier College,Non Gov,Year 9,209
01 February 2011,St Francis Xavier College,Non Gov,Year 10,213
01 February 2011,St Francis Xavier College,Non Gov,Year 11,183
01 February 2011,St Francis Xavier College,Non Gov,Year 12,175
01 February 2011,St John the Apostle Primary School,Non Gov,Kindergarten ,52
01 February 2011,St John the Apostle Primary School,Non Gov,Year 1,55
01 February 2011,St John the Apostle Primary School,Non Gov,Year 2,51
01 February 2011,St John the Apostle Primary School,Non Gov,Year 3,62
01 February 2011,St John the Apostle Primary School,Non Gov,Year 4,54
01 February 2011,St John the Apostle Primary School,Non Gov,Year 5,51
01 February 2011,St John the Apostle Primary School,Non Gov,Year 6,65
01 February 2011,St John Vianney Primary School,Non Gov,Kindergarten ,48
01 February 2011,St John Vianney Primary School,Non Gov,Year 1,40
01 February 2011,St John Vianney Primary School,Non Gov,Year 2,51
01 February 2011,St John Vianney Primary School,Non Gov,Year 3,50
01 February 2011,St John Vianney Primary School,Non Gov,Year 4,23
01 February 2011,St John Vianney Primary School,Non Gov,Year 5,28
01 February 2011,St John Vianney Primary School,Non Gov,Year 6,25
01 February 2011,St Joseph's Primary School,Non Gov,Preschool,20
01 February 2011,St Joseph's Primary School,Non Gov,Kindergarten ,17
01 February 2011,St Joseph's Primary School,Non Gov,Year 1,21
01 February 2011,St Joseph's Primary School,Non Gov,Year 2,28
01 February 2011,St Joseph's Primary School,Non Gov,Year 3,25
01 February 2011,St Joseph's Primary School,Non Gov,Year 4,19
01 February 2011,St Joseph's Primary School,Non Gov,Year 5,35
01 February 2011,St Joseph's Primary School,Non Gov,Year 6,27
01 February 2011,St Jude's Primary School,Non Gov,Kindergarten ,44
01 February 2011,St Jude's Primary School,Non Gov,Year 1,44
01 February 2011,St Jude's Primary School,Non Gov,Year 2,51
